auction_id,bidder_id,organization_type,budget_million_usd,priority_level,urgency_score,mission_type,technical_readiness,payload_mass_kg,time_sensitivity_days,strategic_importance,risk_factor,previous_launches,reliability_score,auction_date,launch_window_date,n_competitors,composite_score,is_winner,rank,budget_per_kg,urgency_time_ratio,readiness_reliability,priority_numeric,org_type_numeric
12,BID_12_3,Government,13.97,Low,5,ISS Resupply,9,3659,95,9,10,32,0.855,2026-08-30,2026-10-07,4,0.47243443174176203,0,3.0,3817.9830554796395,0.05263157894736842,0.7695,1,3
13,BID_13_0,Emergency,31.31,Critical,8,Defense,9,1714,100,6,6,39,0.984,2026-06-11,2026-06-23,3,0.8800000000000001,0,2.0,18267.21120186698,0.08,0.8856,4,4
13,BID_13_1,Commercial,19.14,Medium,3,Defense,7,3445,90,7,5,35,0.888,2026-06-11,2026-06-23,3,0.5278265729798787,0,3.0,5555.878084179971,0.03333333333333333,0.6215999999999999,2,1
13,BID_13_2,Emergency,30.43,Critical,10,Earth Observation,10,1525,164,8,7,35,1.0,2026-06-11,2026-06-23,3,0.9379734908974767,1,1.0,19954.09836065574,0.06097560975609756,1.0,4,4
14,BID_14_0,Emergency,16.48,Critical,10,Technology Demonstration,10,2739,126,9,4,32,0.962,2026-06-27,2026-07-30,4,0.8576545272302039,1,1.0,6016.79445052939,0.07936507936507936,0.962,4,4
14,BID_14_1,Research,7.3,Low,8,ISS Resupply,7,4322,176,10,6,5,0.796,2026-06-27,2026-07-30,4,0.48597560975609766,0,4.0,1689.0328551596483,0.045454545454545456,0.5572,1,2
14,BID_14_2,Research,13.36,High,8,Weather Monitoring,6,1731,44,1,1,15,0.945,2026-06-27,2026-07-30,4,0.6115937186769128,0,3.0,7718.082033506644,0.18181818181818182,0.567,3,2
14,BID_14_3,Military,29.93,Low,6,Emergency Response,8,4815,56,9,7,15,0.694,2026-06-27,2026-07-30,4,0.63,0,2.0,6215.991692627206,0.10714285714285714,0.5552,1,5
15,BID_15_0,Research,6.73,Medium,4,Defense,8,511,149,4,2,29,0.83,2026-03-27,2026-05-27,2,0.44686042581953367,0,2.0,13170.254403131115,0.026845637583892617,0.664,2,2
15,BID_15_1,Emergency,29.59,Critical,10,Defense,9,4977,88,10,9,27,1.0,2026-03-27,2026-05-27,2,0.945,1,1.0,5945.348603576452,0.11363636363636363,0.9,4,4
16,BID_16_0,Emergency,27.75,Critical,9,Communications,10,2371,140,7,5,28,0.803,2026-04-23,2026-06-29,5,0.925,1,1.0,11703.922395613665,0.06428571428571428,0.803,4,4
16,BID_16_1,Government,27.74,High,6,Weather Monitoring,7,2719,145,7,3,14,0.755,2026-04-23,2026-06-29,5,0.7699099099099098,0,3.0,10202.280250091946,0.041379310344827586,0.5285,3,3
16,BID_16_2,Research,4.44,High,8,Communications,5,3498,111,6,9,29,0.915,2026-04-23,2026-06-29,5,0.5399999999999999,0,5.0,1269.2967409948542,0.07207207207207207,0.4575,3,2
16,BID_16_3,Research,12.13,Medium,6,Earth Observation,9,260,154,7,8,0,0.783,2026-04-23,2026-06-29,5,0.5492792792792793,0,4.0,46653.846153846156,0.03896103896103896,0.7047,2,2
16,BID_16_4,Government,25.42,High,8,Earth Observation,9,4573,161,9,4,17,0.801,2026-04-23,2026-06-29,5,0.824009009009009,0,2.0,5558.7141919965015,0.049689440993788817,0.7209000000000001,3,3
17,BID_17_0,Emergency,25.45,Critical,10,Scientific Research,8,1145,166,6,7,37,1.0,2026-08-19,2026-10-08,2,0.9050000000000001,1,1.0,22227.07423580786,0.060240963855421686,0.8,4,4
17,BID_17_1,Commercial,13.55,Low,1,Earth Observation,6,3882,53,1,5,24,0.838,2026-08-19,2026-10-08,2,0.32310412573673875,0,2.0,3490.4688304997426,0.018867924528301886,0.5027999999999999,1,1
18,BID_18_0,Emergency,17.16,Critical,9,Earth Observation,7,770,127,10,1,22,0.787,2026-07-18,2026-09-06,5,0.8798341232227488,1,1.0,22285.714285714286,0.07086614173228346,0.5509,4,4
18,BID_18_1,Commercial,5.63,Medium,1,Satellite Deployment,6,1733,12,10,3,15,0.688,2026-07-18,2026-09-06,5,0.42564196467040066,0,4.0,3248.7016733987307,0.08333333333333333,0.41279999999999994,2,1
18,BID_18_2,Commercial,11.29,Low,5,Communications,8,2199,101,3,10,38,1.0,2026-07-18,2026-09-06,5,0.40660706591986207,0,5.0,5134.151887221465,0.04950495049504951,0.8,1,1
18,BID_18_3,Commercial,23.15,Low,2,Weather Monitoring,5,4840,13,5,10,43,1.0,2026-07-18,2026-09-06,5,0.4643537268418785,0,3.0,4783.05785123967,0.15384615384615385,0.5,1,1
18,BID_18_4,Emergency,23.21,Critical,9,Communications,5,4950,167,6,5,43,1.0,2026-07-18,2026-09-06,5,0.8650000000000001,0,2.0,4688.888888888889,0.05389221556886228,0.5,4,4
19,BID_19_0,Government,25.11,Medium,9,Earth Observation,10,3135,24,8,1,26,1.0,2026-11-17,2026-11-29,2,0.805,1,1.0,8009.56937799043,0.375,1.0,2,3
19,BID_19_1,Commercial,6.54,Low,4,GPS,10,3866,46,7,3,46,1.0,2026-11-17,2026-11-29,2,0.4251135005973716,0,2.0,1691.6709777547853,0.08695652173913043,1.0,1,1
20,BID_20_0,Emergency,18.22,Critical,9,Earth Observation,10,4953,75,7,2,17,0.934,2026-12-13,2027-02-26,4,0.9400000000000001,1,1.0,3678.5786392085606,0.12,0.934,4,4
20,BID_20_1,Research,14.16,High,6,Technology Demonstration,9,3204,93,1,8,20,0.755,2026-12-13,2027-02-26,4,0.6492919868276619,0,2.0,4419.475655430711,0.06451612903225806,0.6795,3,2
20,BID_20_2,Research,10.6,High,5,Weather Monitoring,7,2390,159,5,9,0,0.655,2026-12-13,2027-02-26,4,0.5954445664105379,0,3.0,4435.1464435146445,0.031446540880503145,0.45849999999999996,3,2
20,BID_20_3,Research,12.64,Low,3,Communications,10,3429,132,9,4,44,1.0,2026-12-13,2027-02-26,4,0.5284357848518112,0,4.0,3686.2058909303005,0.022727272727272728,1.0,1,2
21,BID_21_0,Commercial,22.85,Low,3,Communications,8,2093,85,10,6,30,0.966,2026-09-18,2026-09-27,5,0.4632555006735519,0,4.0,10917.343526039178,0.03529411764705882,0.7728,1,1
21,BID_21_1,Government,26.15,High,8,Defense,7,2982,123,8,5,14,0.676,2026-09-18,2026-09-27,5,0.7067781769196227,0,3.0,8769.282360831656,0.06504065040650407,0.4732,3,3
21,BID_21_2,Research,6.82,Low,5,ISS Resupply,10,4489,54,4,4,47,1.0,2026-09-18,2026-09-27,5,0.38328019757521337,0,5.0,1519.2693250167074,0.09259259259259259,1.0,1,2
21,BID_21_3,Military,26.84,High,10,Technology Demonstration,7,923,56,7,6,11,0.701,2026-09-18,2026-09-27,5,0.7356511001347104,0,2.0,29079.089924160347,0.17857142857142858,0.4906999999999999,3,5
21,BID_21_4,Military,44.54,High,7,Weather Monitoring,5,546,148,7,8,6,0.822,2026-09-18,2026-09-27,5,0.745,1,1.0,81575.09157509157,0.0472972972972973,0.411,3,5
22,BID_22_0,Emergency,15.14,Critical,9,Scientific Research,5,2168,129,6,7,31,0.832,2026-09-29,2026-12-06,4,0.7469729932483121,0,2.0,6983.3948339483395,0.06976744186046512,0.416,4,4
22,BID_22_1,Commercial,15.21,Low,2,Scientific Research,9,2589,28,4,2,35,1.0,2026-09-29,2026-12-06,4,0.42762940735183796,0,4.0,5874.855156431055,0.07142857142857142,0.9,1,1
22,BID_22_2,Military,26.66,Medium,10,Technology Demonstration,6,4380,104,9,5,37,1.0,2026-09-29,2026-12-06,4,0.7750000000000001,1,1.0,6086.75799086758,0.09615384615384616,0.6,2,5
22,BID_22_3,Government,16.75,High,9,Technology Demonstration,5,912,60,8,2,10,0.672,2026-09-29,2026-12-06,4,0.7320705176294076,0,3.0,18366.22807017544,0.15,0.336,3,3
23,BID_23_0,Emergency,21.46,Critical,9,Technology Demonstration,8,2485,15,8,5,44,1.0,2026-04-22,2026-04-29,2,0.9150000000000001,1,1.0,8635.814889336016,0.6,0.8,4,4
23,BID_23_1,Commercial,15.38,Medium,2,Weather Monitoring,10,4931,176,4,7,7,0.733,2026-04-22,2026-04-29,2,0.5241705498602051,0,2.0,3119.0427905090246,0.011363636363636364,0.733,2,1
24,BID_24_0,Commercial,12.27,High,1,Scientific Research,7,4974,152,5,8,7,0.711,2026-06-17,2026-07-12,3,0.4798717948717949,0,3.0,2466.8275030156815,0.006578947368421052,0.4976999999999999,3,1
24,BID_24_1,Government,29.25,Medium,10,Earth Observation,7,4199,145,9,2,38,0.892,2026-06-17,2026-07-12,3,0.8,0,2.0,6965.94427244582,0.06896551724137931,0.6244,2,3
24,BID_24_2,Emergency,24.94,Critical,10,GPS,9,2151,13,7,10,37,1.0,2026-06-17,2026-07-12,3,0.8731623931623931,1,1.0,11594.607159460717,0.7692307692307693,0.9,4,4
25,BID_25_0,Research,6.61,Medium,6,Defense,10,3722,78,3,10,27,0.96,2026-11-23,2026-12-05,4,0.46077602059580725,0,4.0,1775.9269210102095,0.07692307692307693,0.96,2,2
25,BID_25_1,Emergency,15.74,Critical,8,Emergency Response,7,3445,92,6,3,21,0.833,2026-11-23,2026-12-05,4,0.7697223243839647,0,3.0,4568.9404934687955,0.08695652173913043,0.5831,4,4
25,BID_25_2,Emergency,27.19,Critical,9,Earth Observation,9,400,123,8,5,20,0.735,2026-11-23,2026-12-05,4,0.9250000000000002,1,1.0,67975.0,0.07317073170731707,0.6615,4,4
25,BID_25_3,Emergency,25.05,Critical,10,Satellite Deployment,10,4544,125,6,4,33,0.939,2026-11-23,2026-12-05,4,0.9203236484001471,0,2.0,5512.764084507042,0.08,0.939,4,4
26,BID_26_0,Commercial,6.03,Low,2,Weather Monitoring,9,1173,80,8,8,7,0.579,2026-12-18,2027-02-19,5,0.326904761904762,0,5.0,5140.664961636829,0.025,0.5211,1,1
26,BID_26_1,Military,47.25,Medium,7,Scientific Research,7,4612,10,9,2,14,0.938,2026-12-18,2027-02-19,5,0.74,0,2.0,10245.01300954033,0.7,0.6566,2,5
26,BID_26_2,Commercial,7.9,Low,4,ISS Resupply,10,1361,134,5,9,45,1.0,2026-12-18,2027-02-19,5,0.35179894179894183,0,4.0,5804.555473916238,0.029850746268656716,1.0,1,1
26,BID_26_3,Emergency,34.71,Critical,9,Communications,8,4615,44,7,10,32,1.0,2026-12-18,2027-02-19,5,0.8136507936507936,1,1.0,7521.12676056338,0.20454545454545456,0.8,4,4
26,BID_26_4,Research,5.9,High,3,Weather Monitoring,8,2884,136,5,1,18,0.898,2026-12-18,2027-02-19,5,0.49121693121693116,0,3.0,2045.7697642163662,0.022058823529411766,0.7184,3,2
27,BID_27_0,Military,42.85,Medium,9,GPS,7,4621,146,9,6,12,0.914,2026-04-18,2026-06-21,5,0.76,0,3.0,9272.88465700065,0.06164383561643835,0.6398,2,5
27,BID_27_1,Research,11.74,Medium,7,Earth Observation,6,3465,18,6,8,45,1.0,2026-04-18,2026-06-21,5,0.48849474912485413,0,5.0,3388.1673881673883,0.3888888888888889,0.6,2,2
27,BID_27_2,Emergency,27.65,Critical,9,Scientific Research,8,403,39,10,6,6,0.822,2026-04-18,2026-06-21,5,0.841318553092182,1,1.0,68610.42183622828,0.23076923076923078,0.6576,4,4
27,BID_27_3,Emergency,27.67,Critical,8,Defense,8,225,43,7,2,30,1.0,2026-04-18,2026-06-21,5,0.8114352392065344,0,2.0,122977.77777777778,0.18604651162790697,0.8,4,4
27,BID_27_4,Government,20.72,Low,7,Technology Demonstration,10,3356,173,8,9,24,1.0,2026-04-18,2026-06-21,5,0.5208868144690783,0,4.0,6174.016686531585,0.04046242774566474,1.0,1,3
28,BID_28_0,Military,45.06,High,6,Communications,10,2454,65,9,2,48,1.0,2026-11-05,2026-11-16,5,0.825,1,1.0,18361.858190709045,0.09230769230769231,1.0,3,5
28,BID_28_1,Commercial,8.73,Low,4,Scientific Research,10,2553,14,1,6,50,1.0,2026-11-05,2026-11-16,5,0.33343541944074573,0,5.0,3419.506462984724,0.2857142857142857,1.0,1,1
28,BID_28_2,Government,21.82,High,7,Earth Observation,6,2100,142,10,3,10,0.653,2026-11-05,2026-11-16,5,0.6810608078118066,0,4.0,10390.47619047619,0.04929577464788732,0.3918,3,3
28,BID_28_3,Military,20.5,High,9,Technology Demonstration,10,2072,134,7,4,29,0.981,2026-11-05,2026-11-16,5,0.7187372392365734,0,3.0,9893.822393822395,0.06716417910447761,0.981,3,5
28,BID_28_4,Emergency,19.53,Critical,9,Satellite Deployment,8,2456,180,7,2,28,1.0,2026-11-05,2026-11-16,5,0.7783555259653795,0,2.0,7951.954397394137,0.05,0.8,4,4
29,BID_29_0,Government,22.9,Medium,8,Weather Monitoring,6,3251,130,7,7,36,0.968,2026-12-25,2027-02-24,4,0.6542690567351201,0,3.0,7043.986465702861,0.06153846153846154,0.5808,2,3
29,BID_29_1,Government,23.82,Medium,10,Weather Monitoring,5,3342,77,10,1,38,1.0,2026-12-25,2027-02-24,4,0.7522746258266622,1,1.0,7127.468581687613,0.12987012987012986,0.5,2,3
29,BID_29_2,Government,28.73,Medium,6,Technology Demonstration,7,1894,169,10,5,43,1.0,2026-12-25,2027-02-24,4,0.715,0,2.0,15168.954593453009,0.03550295857988166,0.7,2,3
29,BID_29_3,Research,7.09,Low,8,ISS Resupply,10,422,86,8,1,37,0.979,2026-12-25,2027-02-24,4,0.5216950922380786,0,4.0,16800.94786729858,0.09302325581395349,0.979,1,2
30,BID_30_0,Government,28.49,High,10,Earth Observation,6,1744,40,8,9,32,1.0,2026-03-19,2026-05-02,3,0.8200000000000002,1,1.0,16336.009174311926,0.25,0.6,3,3
30,BID_30_1,Research,6.1,High,5,Emergency Response,7,2874,36,8,2,9,0.816,2026-03-19,2026-05-02,3,0.5685275535275536,0,3.0,2122.4773834377174,0.1388888888888889,0.5711999999999999,3,2
30,BID_30_2,Research,12.81,Medium,8,Earth Observation,9,3096,30,7,1,16,0.821,2026-03-19,2026-05-02,3,0.6274078624078624,0,2.0,4137.596899224806,0.26666666666666666,0.7389,2,2
31,BID_31_0,Military,35.89,Medium,9,GPS,5,2015,127,10,9,20,0.975,2026-08-08,2026-09-17,5,0.7350000000000001,0,2.0,17811.414392059552,0.07086614173228346,0.4875,2,5
31,BID_31_1,Research,4.12,High,8,ISS Resupply,10,3903,84,7,2,8,0.594,2026-08-08,2026-09-17,5,0.6236988018946782,0,4.0,1055.5982577504483,0.09523809523809523,0.594,3,2
31,BID_31_2,Commercial,23.01,Medium,3,Emergency Response,5,896,67,9,3,24,0.876,2026-08-08,2026-09-17,5,0.5452814154360546,0,5.0,25680.803571428572,0.04477611940298507,0.438,2,1
31,BID_31_3,Military,30.17,High,9,Technology Demonstration,10,1365,113,9,10,26,1.0,2026-08-08,2026-09-17,5,0.8051560323209808,1,1.0,22102.5641025641,0.07964601769911504,1.0,3,5
31,BID_31_4,Government,24.52,High,5,GPS,6,3732,120,8,2,43,1.0,2026-08-08,2026-09-17,5,0.6757996656450265,0,3.0,6570.203644158628,0.041666666666666664,0.6,3,3
32,BID_32_0,Government,27.74,High,6,ISS Resupply,8,850,176,10,1,3,0.766,2026-03-04,2026-04-30,4,0.8200000000000001,1,1.0,32635.29411764706,0.03409090909090909,0.6128,3,3
32,BID_32_1,Research,10.7,Low,4,Technology Demonstration,6,662,148,4,10,13,0.874,2026-03-04,2026-04-30,4,0.35143114635904826,0,3.0,16163.141993957704,0.02702702702702703,0.5244,1,2
32,BID_32_2,Research,4.94,High,5,Scientific Research,9,123,77,3,3,34,0.915,2026-03-04,2026-04-30,4,0.5245205479452055,0,2.0,40162.60162601626,0.06493506493506493,0.8235,3,2
32,BID_32_3,Research,10.28,Low,3,Satellite Deployment,6,221,98,4,10,20,0.705,2026-03-04,2026-04-30,4,0.3276459985580389,0,4.0,46515.8371040724,0.030612244897959183,0.423,1,2
33,BID_33_0,Emergency,17.03,Critical,10,ISS Resupply,10,620,128,8,9,37,0.903,2026-02-27,2026-03-22,4,0.7916775244299673,1,1.0,27467.74193548387,0.078125,0.903,4,4
33,BID_33_1,Military,39.91,Low,7,Technology Demonstration,5,4371,84,6,1,30,1.0,2026-02-27,2026-03-22,4,0.62,0,4.0,9130.633722260352,0.08333333333333333,0.5,1,5
33,BID_33_2,Emergency,18.22,Critical,10,ISS Resupply,8,3733,25,8,10,9,0.61,2026-02-27,2026-03-22,4,0.7741317965422201,0,2.0,4880.792927939995,0.4,0.488,4,4
33,BID_33_3,Government,20.97,High,9,Technology Demonstration,9,2763,104,10,5,29,0.942,2026-02-27,2026-03-22,4,0.7513580556251566,0,3.0,7589.5765472312705,0.08653846153846154,0.8478,3,3
34,BID_34_0,Military,39.56,Medium,7,Earth Observation,8,1971,112,9,7,26,0.979,2026-03-23,2026-04-13,5,0.7250000000000001,0,2.0,20071.029934043632,0.0625,0.7832,2,5
34,BID_34_1,Government,24.24,Medium,8,GPS,10,2188,102,9,2,5,0.8,2026-03-23,2026-04-13,5,0.6931850353892821,0,3.0,11078.610603290677,0.0784313725490196,0.8,2,3
34,BID_34_2,Commercial,11.51,Medium,4,ISS Resupply,10,3152,40,9,1,37,1.0,2026-03-23,2026-04-13,5,0.5377376137512639,0,4.0,3651.6497461928934,0.1,1.0,2,1
34,BID_34_3,Military,39.49,High,8,ISS Resupply,8,2996,177,6,5,38,0.974,2026-03-23,2026-04-13,5,0.7995576339737108,1,1.0,13180.907877169559,0.04519774011299435,0.7792,3,5
34,BID_34_4,Commercial,18.15,Low,5,Defense,6,1367,175,8,4,6,0.665,2026-03-23,2026-04-13,5,0.45969919110212343,0,5.0,13277.24945135333,0.02857142857142857,0.399,1,1
35,BID_35_0,Military,22.81,High,7,Earth Observation,9,4660,13,8,1,11,0.692,2026-03-31,2026-05-12,4,0.7848311781609195,0,2.0,4894.849785407725,0.5384615384615384,0.6228,3,5
35,BID_35_1,Government,15.3,Medium,7,GPS,5,1586,43,9,2,9,0.812,2026-03-31,2026-05-12,4,0.6073922413793104,0,3.0,9646.910466582598,0.16279069767441862,0.406,2,3
35,BID_35_2,Commercial,24.46,Low,1,Defense,6,3181,114,8,6,10,0.711,2026-03-31,2026-05-12,4,0.4746479885057472,0,4.0,7689.405847217856,0.008771929824561403,0.4266,1,1
35,BID_35_3,Government,27.84,High,9,Technology Demonstration,5,530,46,10,1,43,0.954,2026-03-31,2026-05-12,4,0.8500000000000001,1,1.0,52528.301886792455,0.1956521739130435,0.477,3,3
36,BID_36_0,Emergency,30.9,Critical,10,Emergency Response,8,2337,62,6,6,27,0.803,2027-01-05,2027-03-07,5,0.88021094640821,1,1.0,13222.079589216944,0.16129032258064516,0.6424000000000001,4,4
36,BID_36_1,Military,35.08,High,9,Defense,10,2626,18,9,10,3,0.532,2027-01-05,2027-03-07,5,0.845,0,2.0,13358.720487433358,0.5,0.532,3,5
36,BID_36_2,Government,19.85,Medium,6,Scientific Research,7,2471,90,6,8,47,1.0,2027-01-05,2027-03-07,5,0.5514623717217788,0,4.0,8033.184945366248,0.06666666666666667,0.7,2,3
36,BID_36_3,Research,11.67,Medium,6,Defense,10,1985,135,9,6,4,0.659,2027-01-05,2027-03-07,5,0.5631670467502851,0,3.0,5879.093198992443,0.044444444444444446,0.659,2,2
36,BID_36_4,Commercial,5.49,Medium,4,Satellite Deployment,8,737,87,10,7,36,0.981,2027-01-05,2027-03-07,5,0.4641248574686432,0,5.0,7449.118046132971,0.04597701149425287,0.7848,2,1
